application_id,application_date,application_status,first_name,middle_name,last_name,preferred_name,gender,date_of_birth,nik,birth_place,blood_type,rt_rw,issue_date,email,phone_primary,phone_secondary,address_street,address_city,address_province,address_postal_code,address_country,linkedin_profile,personal_website,position_applied,department,employment_type,desired_salary,salary_negotiable,start_date_available,notice_period,work_authorization,visa_status,willing_to_relocate,remote_work_preference,travel_willingness,education_level,university_name,degree_major,degree_minor,graduation_year,gpa,academic_honors,total_experience,current_employer,current_position,current_salary,previous_employer_1,previous_position_1,previous_employer_2,previous_position_2,reason_for_leaving,technical_skills,soft_skills,programming_languages,certifications,languages_spoken,cover_letter_submitted,portfolio_url,github_profile,criminal_background,drug_test_consent,reference_check_consent,reference_1,reference_2,reference_3,emergency_contact_name,emergency_contact_relationship,emergency_contact_phone,preferred_work_schedule,overtime_availability,weekend_availability,how_found_position,referral_source,why_interested,career_goals,greatest_strength,biggest_weakness,religion,marital_status,bpjs_number,npwp_number,electronic_signature,signature_date,terms_accepted,privacy_policy_accepted
APP20250011,13/04/2025,Interview Scheduled,Prayoga,Rika,Prayoga,Prayoga,Male,30/06/2000,146311895709,Surabaya,B,015/003,07-01-2022,prayoga.prayoga@pd.my.id,+62 85-8544-5290,,Gg. Cihampelas No. 3,Makassar,Sulawesi Selatan,56196,Indonesia,https://linkedin.com/in/prayoga-prayoga-494,https://prayogaprayoga.com,QA Engineer,Teknologi,Part-time,"Rp 6,852,196",Tidak,09/07/2025,2 minggu,WNI (Warga Negara Indonesia),N/A,Dalam kota saja,Hybrid,34%,S1 (Sarjana),Universitas Sebelas Maret,Matematika,Sistem Informasi,2012,,,Entry Level,Ruangguru,Financial planner,"Rp 6,137,740",Zenius,"Editor, magazine features",Shopee Indonesia,Advertising art director,Peluang Lebih Baik,"AWS, JavaScript, Kepemimpinan, Bahasa Inggris",MongoDB,"Java, JavaScript","AWS Certified Solutions Architect, Cisco Certified, Oracle Certified","Bahasa Sunda, Arabic, Mandarin, English",Tidak,,https://github.com/prayogaprayoga42,Ya,Ya,Ya,"Kunthara Nainggolan, Product designer di Blibli, (0051) 424-9285, tsihombing@example.org","Gambira Sitorus, Engineer, technical sales di Blibli, +62-52-207-0647, andrianimahdi@example.org","Mursinin Suryono, Editor, commissioning di Shopee Indonesia, 084 413 7617, ifa45@example.com",Darsirah Pratama,Suami/Istri,+62 85-1896-7710,Mulai Pagi,Terbatas,Tidak,Referensi,Cager Mandasari,Saya tertarik dengan posisi ini karena Eligendi commodi dolorem optio quam quae. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Nemo magni molestias minima debitis voluptatem quasi eius. dan mengembangkan keahlian dalam Kepemimpinan.,Kerja Tim,Delegasi,Konghucu,Menikah,,48.469.567.8-162.113,Prayoga Prayoga,26/05/2025,Ya,Ya
APP20250012,05/04/2025,Under Review,Janet,Baktianto,Marbun,Janet,Female,22/11/1991,119031256301,Singkawang,-,002/014,12-03-2024,janet.marbun@ud.org,+62 85-9194-5655,,Gang Ronggowarsito No. 332,Yogyakarta,Sumatera Barat,78200,Indonesia,https://linkedin.com/in/janet-marbun-757,,Tax Specialist,Keuangan,Contract,"Rp 5,897,723",Tidak,14/06/2025,2 bulan,WNI (Warga Negara Indonesia),N/A,Ya,Fully Remote,15%,D3 (Diploma),Universitas Diponegoro,Ekonomi,,2017,3.14,,Entry Level,PT Bank Rakyat Indonesia,Brewing technologist,"Rp 6,262,003",PT Asuransi Jiwasraya,Animal technologist,PT Bank Negara Indonesia,Patent attorney,Relokasi,"Analytical Thinking, Kepemimpinan, Adaptability, Excel","Manajemen Waktu, PSAK, Risk Analysis, Compliance",,Certified Internal Auditor (CIA),"Bahasa Sunda, English, Bahasa Jawa, Japanese",Ya,,,Tidak,Ya,Ya,"Jamal Hastuti, Arts development officer di PT Asuransi Jiwasraya, +62 (0581) 322-9806, fitria24@example.net","Budi Prayoga, Careers adviser di PT Asuransi Jiwasraya, +62-63-165-9183, tirtayasausamah@example.com","Estiawan Yolanda, Educational psychologist di PT Asuransi Jiwasraya, +62 (061) 904 6653, janesudiati@example.net",Bagya Kuswoyo,Teman,+62 87-8339-1552,Standar (9-17),Tidak,Ya,Website Perusahaan,Dewi Uyainah,Saya tertarik dengan posisi ini karena Aliquid incidunt dolores asperiores molestiae ex. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Animi expedita reiciendis et. dan mengembangkan keahlian dalam Manajemen Waktu.,Kerja Tim,Perfeksionis,Katolik,Menikah,,72.813.693.9-229.653,Janet Marbun,26/05/2025,Ya,Ya
APP20250013,11/05/2025,Under Review,Bakda,,Hidayat,Bakda,Male,12/05/1963,216426636245,Bengkulu,B,004/009,25-12-2023,bakda.hidayat@pd.web.id,+62 82-3920-4296,,Gang Tubagus Ismail No. 39,Malang,Sulawesi Barat,25172,Indonesia,https://linkedin.com/in/bakda-hidayat-588,,Brand Manager,Pemasaran,Full-time,"Rp 16,447,800",Ya,11/08/2025,2 bulan,WNA dengan Work Permit,Work Permit,Dalam kota saja,Hybrid,7%,S1 (Sarjana),Universitas Udayana,Ilmu Komunikasi,,2022,,,5-8 tahun,PT BBDO Indonesia,Tax adviser,"Rp 17,173,263",PT Dentsu Indonesia,"Education officer, community",PT Leo Burnett Indonesia,"Copywriter, advertising",Restrukturisasi Perusahaan,"Bahasa Inggris, A/B Testing, Email Marketing, SEO/SEM","Problem Solving, Adaptability, Kepemimpinan",,"HubSpot Content Marketing, Google Analytics Certified, Facebook Blueprint Certified","Japanese, Bahasa Minang",Ya,https://portfolio.bakdahidayat.com,,Ya,Ya,Ya,"Eva Siregar, Therapeutic radiographer di PT Dentsu Indonesia, 0826044627, zeldanovitasari@example.org","Sakti Pradana, Publishing rights manager di PT Dentsu Indonesia, +62-0080-549-8956, wage00@example.org",,Martaka Saputra,Orang Tua,+62 8-6496-2258,Jam Fleksibel,Tidak,Kadang-kadang,Referensi,,Saya tertarik dengan posisi ini karena Accusantium repellendus similique sed veniam unde unde quidem. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Maxime quas maxime pariatur quam aspernatur. dan mengembangkan keahlian dalam Adaptability.,Kerja Tim,Manajemen Waktu,Hindu,Belum Menikah,,,Bakda Hidayat,26/05/2025,Ya,Ya
APP20250014,20/05/2025,Under Review,Aswani,,Pranowo,,Male,27/08/1974,343438634326,Bau-Bau,-,020/006,18-09-2022,aswani.pranowo@pd.org,+62 82-9194-2423,+62 87-6675-4500,Gg. Raya Ujungberung No. 4,Surabaya,Papua,63550,Indonesia,https://linkedin.com/in/aswani-pranowo-160,,Digital Marketing Manager,Pemasaran,Full-time,"Rp 6,842,715",Tidak,24/07/2025,Segera,WNA dengan Work Permit,Work Permit,Dalam kota saja,Work from Office,9%,D3 (Diploma),Institut Teknologi Bandung,Advertising,,2011,3.2,,Entry Level,PT Dentsu Indonesia,Fashion designer,"Rp 6,788,091",PT DDB Indonesia,Careers adviser,PT BBDO Indonesia,Estate agent,Relokasi,"SEO/SEM, TikTok Marketing, Facebook Ads, Email Marketing","Komunikasi, Adaptability, Social Media Marketing, Kepemimpinan",,"Google Ads Certified, Facebook Blueprint Certified, HubSpot Content Marketing","Bahasa Minang, Arabic, Bahasa Indonesia (Native)",Tidak,https://portfolio.aswanipranowo.com,,Ya,Ya,Ya,"Bala Dongoran, Probation officer di PT BBDO Indonesia, +62 (027) 777 7025, wahyunimustika@example.net","Paramita Hidayanto, Therapist, music di PT Ogilvy Indonesia, +62 (486) 007 7373, ssuryono@example.com","Ridwan Maryati, Surveyor, hydrographic di PT BBDO Indonesia, +62 (0673) 048-7798, rahmat49@example.org",Puji Farida,Teman,+62 88-1560-6999,Mulai Pagi,Tidak,Tidak,Job Fair,Sabar Mayasari,Saya tertarik dengan posisi ini karena Dolor error veritatis sed eos. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Modi doloremque doloremque culpa iste. dan mengembangkan keahlian dalam Social Media Marketing.,Komunikasi,Delegasi,Kristen,Duda/Janda,BPJS-74064400,,Aswani Pranowo,26/05/2025,Ya,Ya
APP20250015,06/04/2025,Interview Scheduled,Citra,,Budiyanto,,Female,29/08/1973,129329802695,Kota Administrasi Jakarta Selatan,B,020/002,27-07-2023,citra.budiyanto@perum.co.id,+62 81-1196-1074,+62 8-3933-1102,Gang Jayawijaya No. 439,Bogor,Riau,41072,Indonesia,https://linkedin.com/in/citra-budiyanto-690,,Medical Technologist,Kesehatan,Full-time,"Rp 20,435,141",Ya,08/06/2025,2 minggu,WNA dengan Work Permit,Work Permit,Dalam kota saja,Hybrid,36%,S1 (Sarjana),Universitas Lampung,Kedokteran,,2020,,,5-8 tahun,RS Fatmawati,"Engineer, building services","Rp 20,002,826",Siloam Hospitals,Risk manager,RS Cipto Mangunkusumo,Photographer,Pengembangan Karir,"Adaptability, Patient Care, Privacy Compliance, Electronic Health Records","Komunikasi, Medical Terminology",,BLS Certification,"Bahasa Bali, Bahasa Sunda, Bahasa Batak",Tidak,,,Ya,Ya,Ya,"Kanda Yolanda, Actor di RS Cipto Mangunkusumo, +62-969-607-3191, keisha69@example.org","Maman Yulianti, Land/geomatics surveyor di RS Cipto Mangunkusumo, (057) 951-4053, samiah10@example.org","Cici Pradana, Psychologist, clinical di Mayapada Healthcare, +62 (094) 898-2082, nugrohoyoga@example.com",Yunita Ardianto,Teman,+62 82-1431-6500,Jam Fleksibel,Terbatas,Ya,Referensi,,Saya tertarik dengan posisi ini karena Veritatis minus neque totam quod consectetur. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Quidem magni culpa ab accusamus iusto. dan mengembangkan keahlian dalam Komunikasi.,Kepemimpinan,Manajemen Waktu,Islam,Belum Menikah,,56.142.290.9-245.886,Citra Budiyanto,26/05/2025,Ya,Ya
APP20250016,11/05/2025,Pending,Dartono,,Maulana,,Male,23/08/1971,144212476333,Surakarta,AB,013/015,09-10-2017,dartono.maulana@perum.desa.id,+62 81-1777-8418,,Gg. Yos Sudarso No. 81,Bandung,Jambi,90855,Indonesia,https://linkedin.com/in/dartono-maulana-134,,Medical Technologist,Kesehatan,Magang,"Rp 11,034,917",Ya,24/06/2025,2 bulan,WNA dengan Work Permit,Work Permit,Tidak,Fleksibel,48%,S1 (Sarjana),Universitas Tarumanagara,Radiologi,,2012,,,1-3 tahun,Siloam Hospitals,Hospital doctor,"Rp 10,026,598",PT Kimia Farma,Catering manager,RS Pondok Indah,Rural practice surveyor,Pengembangan Karir,"Medical Terminology, Clinical Documentation, Electronic Health Records, Patient Care","Patient Safety, Emergency Care",,BLS Certification,"Bahasa Jawa, Bahasa Minang, Bahasa Batak, Mandarin",Ya,,,Ya,Tidak,Ya,"Lukman Napitupulu, Banker di PT Kimia Farma, +62-887-548-3578, suryonoraditya@example.com","Pangestu Zulaika, Company secretary di PT Kimia Farma, +62-0160-325-7994, restu35@example.net","Galuh Siregar, Operational investment banker di RS Persahabatan, +62 (0143) 553-3175, waskitaprima@example.org",Dacin Pudjiastuti,Teman,+62 87-4903-5066,Mulai Siang,Ya,Ya,Website Perusahaan,,Saya tertarik dengan posisi ini karena Alias tenetur vero voluptates. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Asperiores dicta consequuntur fuga quae quos. dan mengembangkan keahlian dalam Medical Terminology.,Keahlian Teknis,Public Speaking,Lainnya,Duda/Janda,,,Dartono Maulana,26/05/2025,Ya,Ya
APP20250017,04/05/2025,Pending,Sadina,,Prayoga,,Female,24/03/1996,174273379108,Balikpapan,B,016/015,22-09-2018,sadina.prayoga@pd.mil.id,+62 85-3933-7981,,Jalan Cihampelas No. 51,Denpasar,Kepulauan Bangka Belitung,36381,Indonesia,https://linkedin.com/in/sadina-prayoga-933,https://sadinaprayoga.com,Business Development Manager,Bisnis,Magang,"Rp 22,058,376",Ya,07/06/2025,1 bulan,WNI (Warga Negara Indonesia),N/A,Ya,Work from Office,48%,S2 (Magister),Universitas Pendidikan Indonesia,Ekonomi,Administrasi Bisnis,2020,,Wisudawan Terbaik,5-8 tahun,PT Unilever Indonesia,Chartered management accountant,"Rp 21,031,632",PT Pertamina,Higher education lecturer,PT Bank Rakyat Indonesia,Financial manager,Pengembangan Karir,"CRM, Manajemen Waktu, PowerBI, Adaptability","Excel, Data Analysis, Bahasa Inggris",,"Certified Business Analyst, Six Sigma Black Belt","Arabic, Japanese, English, Bahasa Sunda",Ya,,,Tidak,Tidak,Ya,"Nilam Maryati, Quality manager di PT Pertamina, +62 (089) 967 5477, yuliartibella@example.net","Raditya Zulkarnain, Nurse, mental health di PT Astra International, +62 (0879) 871-8083, wbudiman@example.net",,Yance Mangunsong,Saudara,+62 8-6445-9080,Standar (9-17),Tidak,Kadang-kadang,Karir.com,,Saya tertarik dengan posisi ini karena Blanditiis exercitationem quibusdam libero odit enim. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Rerum veniam eligendi culpa ex at quo. dan mengembangkan keahlian dalam Manajemen Waktu.,Kepemimpinan,Delegasi,Buddha,Menikah,,,Sadina Prayoga,26/05/2025,Ya,Ya
APP20250018,20/04/2025,Pending,Raisa,Dian,Marpaung,,Female,04/11/2001,127814493657,Manado,AB,003/004,28-12-2021,raisa.marpaung@pd.go.id,+62 89-7554-7290,+62 85-5481-8344,Gg. Raya Setiabudhi No. 227,Depok,Sumatera Selatan,33850,Indonesia,https://linkedin.com/in/raisa-marpaung-387,,Account Manager,Bisnis,Contract,"Rp 5,077,232",Ya,16/06/2025,1 bulan,Permanent Resident,N/A,Ya,Work from Office,14%,S1 (Sarjana),Universitas Atmajaya,Ekonomi,,2019,3.73,,Entry Level,PT Bank Mandiri,"Scientist, water quality","Rp 5,314,963",PT Gudang Garam,Youth worker,PT Astra International,Cartographer,Relokasi,"Data Analysis, Adaptability, CRM, Salesforce","Komunikasi, Bahasa Inggris, Process Optimization",,Six Sigma Black Belt,"Bahasa Minang, Bahasa Jawa, Mandarin, Arabic",Ya,,,Tidak,Tidak,Ya,"Daryani Wijayanti, Dietitian di PT Astra International, +62 (044) 126 7681, wasitalili@example.com","Darmaji Pradana, Phytotherapist di PT Bank Central Asia, +62-01-693-9135, akarsana49@example.com","Estiono Waluyo, Office manager di PT Gudang Garam, 0804865082, sihombingperkasa@example.net",Wakiman Hardiansyah,Teman,+62 87-5099-7211,Mulai Pagi,Terbatas,Tidak,Job Fair,,Saya tertarik dengan posisi ini karena Voluptatem officiis voluptates quae eius inventore nam animi. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Quo amet quaerat atque possimus. dan mengembangkan keahlian dalam CRM.,Keahlian Teknis,Public Speaking,Katolik,Menikah,,41.722.200.9-607.554,Raisa Marpaung,26/05/2025,Ya,Ya
APP20250019,16/04/2025,Interview Scheduled,Ivan,Cawisadi,Hutasoit,Ivan,Male,13/03/1992,199183496863,Tebingtinggi,O,005/014,28-06-2021,ivan.hutasoit@pt.gov,+62 88-2600-4062,,Jl. Pasirkoja No. 032,Padang,Kalimantan Selatan,86777,Indonesia,https://linkedin.com/in/ivan-hutasoit-318,https://ivanhutasoit.com,Marketing Analytics Manager,Pemasaran,Magang,"Rp 17,403,977",Ya,27/05/2025,1 bulan,Permanent Resident,N/A,Ya,Hybrid,26%,S2 (Magister),Universitas Indonesia,Digital Marketing,,2015,,,5-8 tahun,PT Leo Burnett Indonesia,Barrister's clerk,"Rp 16,851,264",PT DDB Indonesia,Chief Strategy Officer,PT BBDO Indonesia,"Conservation officer, nature",Pengembangan Karir,"Content Creation, TikTok Marketing, Analytical Thinking, A/B Testing","Google Analytics, Social Media Marketing",,Tidak ada,"Arabic, Bahasa Indonesia (Native)",Ya,,,Ya,Tidak,Ya,"Balangga Usamah, Sports development officer di PT DDB Indonesia, +62 (232) 859-2970, utamidamar@example.org","Ellis Santoso, Buyer, retail di PT DDB Indonesia, +62-0231-562-1697, laksitamichelle@example.net","Nadia Latupono, Psychotherapist di PT Dentsu Indonesia, (083) 786 2577, suryonotari@example.org",Martaka Haryanto,Saudara,+62 8-2996-4563,Standar (9-17),Ya,Ya,JobStreet,Agnes Sinaga,Saya tertarik dengan posisi ini karena Excepturi possimus praesentium ut eligendi asperiores consequatur rerum. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Repellat earum blanditiis cupiditate quos. dan mengembangkan keahlian dalam A/B Testing.,Kerja Tim,Manajemen Waktu,Islam,Belum Menikah,,,Ivan Hutasoit,26/05/2025,Ya,Ya
APP20250020,26/04/2025,Pending,Jumari,Atmaja,Wibisono,Jumari,Male,20/02/1977,151841259518,Cimahi,A,006/002,06-05-2023,jumari.wibisono@ud.biz.id,+62 81-1118-3525,,Gang PHH. Mustofa No. 5,Bekasi,DKI Jakarta,85429,Indonesia,https://linkedin.com/in/jumari-wibisono-596,,Tax Specialist,Keuangan,Full-time,"Rp 7,378,209",Tidak,24/06/2025,Segera,WNI (Warga Negara Indonesia),N/A,Ya,Hybrid,1%,S1 (Sarjana),Universitas Diponegoro,Asuransi,,2020,,,1-3 tahun,PT Bank Mandiri,Risk analyst,"Rp 7,367,185",PT Bank Danamon,Chartered legal executive (England and Wales),PT Bank Rakyat Indonesia,Hydrologist,Pengembangan Karir,"SAP, Adaptability, Forecasting, Financial Modeling","Compliance, QuickBooks, Problem Solving, Kepemimpinan",,"Certified Public Accountant (CPA), Certified Internal Auditor (CIA)","Bahasa Batak, Bahasa Indonesia (Native), Bahasa Sunda",Ya,,,Tidak,Ya,Ya,"Gandi Melani, Air cabin crew di PT Bank CIMB Niaga, (0201) 629 0139, kaylautami@example.com","Gandewa Rajasa, Conservation officer, nature di PT Bank CIMB Niaga, (077) 138 8724, puspitaharsana@example.net",,Karma Astuti,Suami/Istri,+62 8-2605-8489,Standar (9-17),Tidak,Tidak,LinkedIn,Saka Sihotang,Saya tertarik dengan posisi ini karena Beatae expedita dolorem officiis. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Nemo quod quisquam. dan mengembangkan keahlian dalam SAP.,Problem Solving,Public Speaking,Islam,Duda/Janda,,,Jumari Wibisono,26/05/2025,Ya,Ya
APP20250021,11/04/2025,Pending,Salsabila,Cakrawangsa,Sihombing,Salsabila,Female,25/06/1979,171997704825,Tarakan,AB,020/001,15-08-2015,salsabila.sihombing@cv.sch.id,+62 87-8799-6164,,Gg. Tebet Barat Dalam No. 4,Semarang,Bali,41622,Indonesia,https://linkedin.com/in/salsabila-sihombing-724,https://salsabilasihombing.com,Asisten Medis,Kesehatan,Full-time,"Rp 6,953,514",Ya,10/07/2025,1 bulan,Permanent Resident,N/A,Dalam Pulau Jawa saja,Fully Remote,33%,S1 (Sarjana),Universitas Hasanuddin,Kesehatan Masyarakat,,2023,3.76,,Entry Level,PT Kalbe Farma,Senior tax professional/tax inspector,"Rp 5,578,810",Mayapada Healthcare,Financial controller,Siloam Hospitals,Passenger transport manager,Peluang Lebih Baik,"Analytical Thinking, Clinical Documentation, Adaptability, Electronic Health Records","Manajemen Waktu, Problem Solving",,BLS Certification,"Arabic, Bahasa Bali, Bahasa Minang, Bahasa Batak",Tidak,,,Tidak,Tidak,Ya,"Rahmi Nasyidah, Automotive engineer di PT Kalbe Farma, (0512) 362-3765, opung68@example.org","Melinda Oktaviani, Tax inspector di Mayapada Healthcare, +62 (0144) 607-2983, onugroho@example.org","Enteng Halim, Licensed conveyancer di PT Kalbe Farma, 0890330844, karsa04@example.net",Ridwan Laksita,Teman,+62 82-1577-7338,Mulai Pagi,Ya,Ya,Job Fair,,Saya tertarik dengan posisi ini karena Corrupti molestias ex vitae earum qui. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Ipsa corporis incidunt natus rerum repellat. dan mengembangkan keahlian dalam Electronic Health Records.,Kepemimpinan,Manajemen Waktu,Konghucu,Belum Menikah,,,Salsabila Sihombing,26/05/2025,Ya,Ya
APP20250022,18/05/2025,Under Review,Sidiq,Nadia,Hastuti,Sidiq,Male,12/02/1980,111191872589,Jambi,O,009/010,01-02-2016,sidiq.hastuti@perum.or.id,+62 88-8331-6956,,Jalan K.H. Wahid Hasyim No. 5,Surabaya,Sulawesi Tengah,90077,Indonesia,https://linkedin.com/in/sidiq-hastuti-992,https://sidiqhastuti.com,Perawat,Kesehatan,Part-time,"Rp 6,039,800",Ya,14/06/2025,Segera,Permanent Resident,N/A,Dalam Pulau Jawa saja,Hybrid,8%,S1 (Sarjana),Universitas Indonesia,Radiologi,Fisioterapi,2022,3.61,,Entry Level,PT Bio Farma,Insurance risk surveyor,"Rp 5,293,480",RS Fatmawati,Medical secretary,PT Bio Farma,Glass blower/designer,Relokasi,"Patient Care, Electronic Health Records, Problem Solving, Medical Terminology","Kepemimpinan, Manajemen Waktu",,"STR (Surat Tanda Registrasi), SIP (Surat Ijin Praktik)","Japanese, English",Tidak,,,Tidak,Tidak,Ya,"Gaiman Hidayanto, Herpetologist di PT Bio Farma, +62 (059) 117 3549, znovitasari@example.org","Tari Wulandari, Conservation officer, nature di RS Fatmawati, 080 315 4540, esiregar@example.com","Candra Kusmawati, Risk analyst di RS Fatmawati, (0670) 567 6792, ajiminiswahyudi@example.org",Latif Anggraini,Teman,+62 85-3548-1758,Mulai Siang,Tidak,Kadang-kadang,Website Perusahaan,,Saya tertarik dengan posisi ini karena Labore iure quas alias rem ipsum. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Velit velit aliquam accusamus. dan mengembangkan keahlian dalam Manajemen Waktu.,Komunikasi,Perfeksionis,Islam,Belum Menikah,BPJS-71396910,16.447.735.8-558.119,Sidiq Hastuti,26/05/2025,Ya,Ya
APP20250023,20/04/2025,Pending,Dina,,Mayasari,,Female,04/05/1982,213692203378,Banda Aceh,AB,013/009,25-05-2017,dina.mayasari@ud.co.id,+62 89-4971-8074,,Gang Jend. A. Yani No. 731,Banjarmasin,Kalimantan Barat,20161,Indonesia,https://linkedin.com/in/dina-mayasari-565,https://dinamayasari.com,Medical Technologist,Kesehatan,Full-time,"Rp 37,266,759",Tidak,18/06/2025,2 minggu,WNA dengan Work Permit,Work Permit,Dalam Pulau Jawa saja,Hybrid,40%,S3 (Doktor),Universitas Sriwijaya,Keperawatan,,2018,3.53,Magna Cum Laude,12+ tahun,RS Fatmawati,Translator,"Rp 32,395,104",RS Pondok Indah,Arts administrator,PT Bio Farma,Community development worker,Mencari Tantangan Baru,"Adaptability, Medical Terminology, Emergency Care, Analytical Thinking",Medical Records,,"ACLS Certification, SIP (Surat Ijin Praktik), STR (Surat Tanda Registrasi)","Mandarin, Japanese, English, Arabic",Ya,,,Ya,Tidak,Ya,"Mahmud Usada, Solicitor, Scotland di RS Persahabatan, +62 (054) 077-8243, hidayantowardaya@example.org","Wadi Uwais, Engineer, materials di PT Bio Farma, 0871528951, daru02@example.com","Jabal Anggriawan, Geophysicist/field seismologist di RS Persahabatan, +62 (39) 191-5687, pnapitupulu@example.net",Latika Anggraini,Saudara,+62 87-2271-4963,Standar (9-17),Terbatas,Kadang-kadang,Job Fair,Jaya Nainggolan,Saya tertarik dengan posisi ini karena Illum optio consequuntur. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Nostrum libero consectetur assumenda deserunt beatae. dan mengembangkan keahlian dalam Adaptability.,Kepemimpinan,Manajemen Waktu,Islam,Duda/Janda,,48.364.646.4-725.891,Dina Mayasari,26/05/2025,Ya,Ya
APP20250024,11/05/2025,Interview Scheduled,Murti,,Santoso,Murti,Male,10/07/2000,188837979436,Jayapura,B,014/007,17-11-2016,murti.santoso@perum.id,+62 81-6861-4007,+62 88-1442-7667,Gang BKR No. 427,Banjarmasin,Kepulauan Riau,42093,Indonesia,https://linkedin.com/in/murti-santoso-671,,Radiographer,Kesehatan,Full-time,"Rp 32,991,820",Tidak,19/08/2025,1 bulan,WNA dengan Work Permit,Work Permit,Dalam kota saja,Fleksibel,6%,S1 (Sarjana),Universitas Gadjah Mada,Radiologi,,2023,,,8-12 tahun,RS Persahabatan,Armed forces operational officer,"Rp 33,080,623",RS Persahabatan,"Scientist, research (physical sciences)",Siloam Hospitals,Freight forwarder,Restrukturisasi Perusahaan,"Komunikasi, Problem Solving, Manajemen Waktu, Emergency Care","Patient Care, Analytical Thinking, Clinical Documentation",,"BLS Certification, STR (Surat Tanda Registrasi)","Bahasa Bali, Bahasa Minang",Tidak,,,Tidak,Tidak,Ya,"Ulya Farida, Chief Financial Officer di RS Persahabatan, +62-701-148-2233, bakiadi69@example.net","Adiarja Uyainah, Higher education careers adviser di PT Kalbe Farma, +62-60-307-0929, tina02@example.org","Laswi Dongoran, Tour manager di PT Kalbe Farma, 087 844 8020, yancesetiawan@example.net",Daru Wahyudin,Saudara,+62 81-5469-3772,Standar (9-17),Terbatas,Kadang-kadang,JobStreet,,Saya tertarik dengan posisi ini karena At veritatis error at vel praesentium. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Id debitis corporis nam nisi laboriosam placeat. dan mengembangkan keahlian dalam Manajemen Waktu.,Keahlian Teknis,Public Speaking,Islam,Belum Menikah,,,Murti Santoso,26/05/2025,Ya,Ya
APP20250025,17/04/2025,Pending,Kalim,,Sirait,,Male,13/02/2000,218317346566,Payakumbuh,B,017/002,15-05-2018,kalim.sirait@perum.desa.id,+62 88-8371-5938,,Jalan Jayawijaya No. 19,Batam,Sumatera Utara,63034,Indonesia,https://linkedin.com/in/kalim-sirait-444,,Dosen,Pendidikan,Full-time,"Rp 16,839,048",Ya,11/07/2025,Segera,WNI (Warga Negara Indonesia),N/A,Tidak,Work from Office,29%,S2 (Magister),Universitas Negeri Surabaya,Pendidikan Guru Sekolah Dasar,,2011,,Dean's List,5-8 tahun,Ruangguru,Meteorologist,"Rp 18,388,139",Binar Academy,Planning and development surveyor,Zenius,Automotive engineer,Relokasi,"Analytical Thinking, Problem Solving, Student Assessment, Educational Technology","Adaptability, Komunikasi",,"TOEFL/IELTS Certificate, Microsoft Office Specialist, Sertifikat Pendidik","Japanese, Bahasa Sunda",Ya,,,Tidak,Tidak,Ya,"Among Pratama, Commercial horticulturist di Ruangguru, +62-018-343-9881, safitriemas@example.org","Mahesa Palastri, Actor di Ruangguru, +62-0168-256-8671, darumahendra@example.com",,Putri Wulandari,Teman,+62 85-2474-7893,Mulai Siang,Ya,Kadang-kadang,Karir.com,,Saya tertarik dengan posisi ini karena Perspiciatis aliquam tenetur exercitationem assumenda eaque. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Est voluptatum expedita iste ducimus maiores necessitatibus. dan mengembangkan keahlian dalam Adaptability.,Kerja Tim,Delegasi,Katolik,Menikah,BPJS-28234803,,Kalim Sirait,26/05/2025,Ya,Ya
